id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon,full_address
12560.0,Appareil fixe-Vast apparaat,Avenue Robert Schuman 102,102.0,1400.0,Nivelles,Brabant Wallon,couloir,Non-Nee,Non-Nee,,,,"Avenue Robert Schuman 102 102 ,1400 ,Nivelles"
12561.0,Appareil fixe-Vast apparaat,Temselaan,100.0,1853.0, Strombeek Bever,Vlaams-Brabant,U gebouw - gelijkvloers - koffie ruimte - rechter muur,Non-Nee,Oui-Ja,Van Meirhaeghe Karin,50.905053949999996,4.343029346915894,"Temselaan 100 ,1853 , Strombeek Bever"
12562.0,Appareil fixe-Vast apparaat,Avenue André Ernst 9,9.0,4800.0,Petit-Rechain,Liège,couloir principal,Oui-Ja,Non-Nee,8h - 17h du lundi au vendredi,,,"Avenue André Ernst 9 9 ,4800 ,Petit-Rechain"
12564.0,Appareil fixe-Vast apparaat,av Fernand Charlot,35.0,1370.0,Jodoigne,Brabant Wallon,Ecole st Albert	,Non-Nee,Non-Nee,,50.722219949999996,4.8696698140767545,"av Fernand Charlot 35 ,1370 ,Jodoigne"
12565.0,Appareil fixe-Vast apparaat,Rue de l industrie ,1.0,1400.0,Nivelles	,Brabant Wallon,Play 2 move,Oui-Ja,Non-Nee,,50.441721799999996,4.422682611192624,"Rue de l industrie  1 ,1400 ,Nivelles	"
12566.0,Appareil fixe-Vast apparaat,rue JB Stouffs,12.0,1332.0,Genval	,Brabant Wallon,Salle du Mahiermont,Oui-Ja,Non-Nee,,,,"rue JB Stouffs 12 ,1332 ,Genval	"
12567.0,Appareil fixe-Vast apparaat,rue Croy,2.0,1330.0,Rixensart	,Brabant Wallon,"Local Jacques Brel, Maison des Aînés",Non-Nee,Non-Nee,,50.7159297,4.5243733,"rue Croy 2 ,1330 ,Rixensart	"
12568.0,Appareil fixe-Vast apparaat,Rue Sainte Barbe,19.0,1400.0,Nivelles,Brabant Wallon, Nos Tayons - Maison de Repos CPAS	,Non-Nee,Oui-Ja,,50.59619215,4.313518911798923,"Rue Sainte Barbe 19 ,1400 ,Nivelles"
12569.0,Appareil fixe-Vast apparaat,Rue de Bruxelles,12.0,1480.0,Tubize	,Brabant Wallon,Salle Rerum Novarum,Non-Nee,Non-Nee,,50.69385305,4.203918120982911,"Rue de Bruxelles 12 ,1480 ,Tubize	"
12570.0,Appareil fixe-Vast apparaat,Rue Docteur Colson,1.0,1430.0,Rebecq,Brabant Wallon,"Résidence d Arenberg (Maison de repos & de soins)
Hall d entrée",Non-Nee,,,50.66279465,4.133274718711123,"Rue Docteur Colson 1 ,1430 ,Rebecq"
12573.0,Appareil fixe-Vast apparaat,Rue du Parc Industriel ,27.0,7822.0,Ghislenghein,Hainaut,A l entré du nouvel atelier,Non-Nee,Non-Nee,,50.6530159,3.8600751,"Rue du Parc Industriel  27 ,7822 ,Ghislenghein"
12574.0,Appareil fixe-Vast apparaat,Rue du Parc Industriel,27.0,7822.0,Ghislenghien,Hainaut,A l entrée au poste de garde,Non-Nee,Oui-Ja,,50.6530159,3.8600751,"Rue du Parc Industriel 27 ,7822 ,Ghislenghien"
